delta,time_es
0.1,91661.4
0.4413793103448276,91497.4
0.7827586206896552,93320.6
1.124137931034483,92864.2
1.4655172413793105,92906.0
1.806896551724138,91464.4
2.148275862068966,91409.4
2.4896551724137934,93232.6
2.831034482758621,93853.2
3.1724137931034484,93817.0
3.513793103448276,91473.4
3.855172413793104,93994.0
4.196551724137931,91875.8
4.537931034482758,91693.4
4.879310344827586,94798.8
5.220689655172413,93032.6
5.562068965517241,93559.2
5.903448275862069,95009.0
6.244827586206896,95510.0
6.586206896551724,91678.0
6.927586206896551,91552.4
7.268965517241379,90901.0
7.610344827586207,92466.6
7.951724137931034,93876.6
8.293103448275863,92061.8
8.63448275862069,91895.0
8.975862068965517,91527.8
9.317241379310344,93591.2
9.658620689655173,91980.2
10.0,92931.6
