threads,delta,time_es
2,1,56.4384
2,31,73.0296
2,61,68.1114
2,91,71.83160000000001
2,121,69.1118
2,151,69.884
2,181,72.894
2,211,71.3758
2,241,69.33959999999999
2,271,76.6514
3,1,60.575199999999995
3,31,54.0366
3,61,52.9188
3,91,55.7364
3,121,54.9322
3,151,56.830999999999996
3,181,52.400400000000005
3,211,49.498000000000005
3,241,52.45700000000001
3,271,57.0912
4,1,64.0712
4,31,44.7438
4,61,44.1394
4,91,42.202
4,121,42.5436
4,151,47.800599999999996
4,181,46.4248
4,211,41.5574
4,241,43.7318
4,271,44.5356
5,1,74.14
5,31,40.2182
5,61,44.666399999999996
5,91,44.7468
5,121,39.5306
5,151,38.112
5,181,41.8916
5,211,40.3096
5,241,38.7158
5,271,39.466
6,1,81.0344
6,31,42.0572
6,61,36.9342
6,91,34.6052
6,121,35.041399999999996
6,151,35.521
6,181,33.4782
6,211,34.659
6,241,33.382600000000004
6,271,33.051
7,1,88.6646
7,31,36.582
7,61,33.830799999999996
7,91,39.3698
7,121,34.8836
7,151,32.819
7,181,34.120999999999995
7,211,35.563
7,241,33.306400000000004
7,271,34.9854
8,1,97.3784
8,31,34.2008
8,61,37.5454
8,91,34.0098
8,121,31.8334
8,151,32.289
8,181,36.9548
8,211,34.5482
8,241,33.081599999999995
8,271,31.7596
9,1,109.51199999999999
9,31,39.232
9,61,36.7456
9,91,36.63
9,121,36.855000000000004
9,151,34.597
9,181,30.7566
9,211,31.9918
9,241,32.6866
9,271,31.1502
