threads,delta,light,rebuilds,time_es,cpu_load
1,0.1,60,5,327.89733333333334,0.50395
1,0.2285714285714286,60,5,927.2033333333334,0.3957633333333333
1,0.3571428571428572,60,5,1317.2166666666667,0.37653000000000003
1,0.48571428571428577,60,5,1905.3266666666666,0.36305666666666664
1,0.6142857142857143,60,5,2211.596666666667,0.3588533333333333
1,0.7428571428571429,60,5,2593.6033333333335,0.3548166666666666
1,0.8714285714285716,60,5,2697.3033333333333,0.35391666666666666
1,1.0,60,5,3017.27,0.35092999999999996
2,0.1,60,5,101.17333333333333,1.2035
2,0.2285714285714286,60,5,259.26866666666666,0.8737499999999999
2,0.3571428571428572,60,5,366.42,0.8079566666666667
2,0.48571428571428577,60,5,468.80333333333334,0.7778366666666666
2,0.6142857142857143,60,5,622.8233333333334,0.7499899999999999
2,0.7428571428571429,60,5,688.2800000000001,0.7426533333333333
2,0.8714285714285716,60,5,780.6166666666667,0.7311766666666667
2,1.0,60,5,768.2366666666667,0.72891
3,0.3571428571428572,60,5,193.58033333333333,1.2597633333333333
3,0.6142857142857143,60,5,288.397,1.18223
3,0.7428571428571429,60,5,350.9066666666667,1.13792
3,0.8714285714285716,60,5,359.05,1.14224
4,0.1,60,5,40.165,2.45585
4,0.2285714285714286,60,5,75.80333333333333,2.00866
4,0.3571428571428572,60,5,120.70233333333334,1.7434566666666667
4,0.48571428571428577,60,5,179.107,1.59188
4,0.7428571428571429,60,5,212.55233333333334,1.5410899999999998
4,1.0,60,5,229.50300000000001,1.5199733333333334
5,0.3571428571428572,60,5,93.77633333333334,2.14698
5,0.48571428571428577,60,5,116.31599999999999,2.0640899999999998
5,0.6142857142857143,60,5,130.01500000000001,2.038533333333333
5,0.7428571428571429,60,5,137.91,1.9921266666666666
5,0.8714285714285716,60,5,144.009,2.001446666666667
5,1.0,60,5,160.97,1.8945566666666667
6,0.1,60,5,27.110933333333335,3.6540666666666666
6,0.3571428571428572,60,5,81.33,2.38606
6,0.48571428571428577,60,5,94.28166666666668,2.297686666666667
6,0.6142857142857143,60,5,112.085,2.2232966666666667
6,0.7428571428571429,60,5,117.20466666666665,2.28595
6,0.8714285714285716,60,5,106.84166666666665,2.4196866666666668
7,0.1,60,5,26.5509,3.794966666666667
7,0.3571428571428572,60,5,67.23866666666667,2.6695533333333334
7,0.48571428571428577,60,5,86.07733333333334,2.4927699999999997
7,0.6142857142857143,60,5,89.51666666666667,2.7319666666666667
7,0.7428571428571429,60,5,95.44366666666667,2.72486
7,0.8714285714285716,60,5,98.875,2.5674333333333332
7,1.0,60,5,111.45566666666667,2.52578
8,0.2285714285714286,60,5,32.291133333333335,3.8800666666666666
8,0.7428571428571429,60,5,90.82366666666667,2.7189599999999996
8,1.0,60,5,95.519,2.6042733333333334
9,0.2285714285714286,60,5,30.429933333333334,4.075266666666667
9,0.3571428571428572,60,5,62.766,3.024623333333333
9,0.48571428571428577,60,5,69.479,3.0007966666666666
9,0.7428571428571429,60,5,82.62733333333334,2.8480399999999997
9,0.8714285714285716,60,5,87.91533333333332,2.8600333333333334
9,1.0,60,5,81.38933333333334,2.9671866666666666
