threads,delta,light,rebuilds,time_es
8,251,60,5,193.796
8,261,60,5,179.8378
8,271,60,5,177.1512
8,281,60,5,173.99939999999998
8,291,60,5,169.993
9,1,60,5,2736.34
9,11,60,5,1609.074
9,21,60,5,1203.792
9,31,60,5,987.4159999999999
9,41,60,5,823.576
9,51,60,5,685.6560000000001
9,61,60,5,610.52
9,71,60,5,523.652
9,81,60,5,458.332
9,91,60,5,439.8
9,101,60,5,400.81399999999996
9,111,60,5,364.966
9,121,60,5,341.864
9,131,60,5,318.338
9,141,60,5,299.37600000000003
9,151,60,5,299.158
9,161,60,5,278.64
9,171,60,5,267.058
9,181,60,5,259.994
9,191,60,5,247.60999999999999
9,201,60,5,239.1
9,211,60,5,231.03400000000002
9,221,60,5,224.6
9,231,60,5,223.302
9,241,60,5,208.51999999999998
9,251,60,5,210.058
9,261,60,5,197.4366
9,271,60,5,195.72840000000002
9,281,60,5,190.2614
9,291,60,5,194.317
